TITLE,DESCRIPTION,LATITUDE,LONGITUDE,Extracted Numbers
Headley School Parking,Permits:||IU Foundation Parking,39.18590997,-86.51465575,0
Lot 100,Permits:||Student Parking,39.18106219,-86.52754248,100
Lot 102,Permits:||Athletic Parking,39.18489312,-86.52478087,102
Lot 102,Permits:||Athletic Parking,39.18417174,-86.5272899,102
Lot 103,Permits:||Student Parking||Accessible Parking,39.18283817,-86.52458169,103
Lot 104,Permits:||Athletics Parking||Accessible Parking||Reserved Parking,39.18213132,-86.52621142,104
Lot 104,Permits:||Athletics Parking||Accessible Parking||Reserved Parking,39.18209036,-86.52499979,104
Lot 104,Permits:||Athletics Parking,39.1802879,-86.52442486,104
Lot 104,Permits:||Athletics Parking||Accessible Parking||Reserved Parking,39.18080536,-86.52374889,104
Lot 104,Permits:||Athletics Parking,39.18153792,-86.52444287,104
Lot 108,Permits:||EMS Parking,39.1787845,-86.52549279,108
Lot 110,Permits:||EMS Parking||Athletics Parking||Accessible Parking,39.17947672,-86.52020975,110
Lot 110,Permits:||EMS Parking||Student Parking Section E ONLY||Accessible Parking,39.17951051,-86.522228,110
Lot 111,Permits:||Accessible Parking,39.17969243,-86.51877087,111
Lot 112,Permits:||Athletics Parking||Accessible Parking,39.18133415,-86.52053335,112
Lot 114,Permits:||Athletics Parking||Accessible Parking,39.18222084,-86.52121027,114
Lot 115,Permits:||Student Parking,39.18684303,-86.51960788,115
Lot 116,Permits:||EMS Parking||Accessible Parking||Student Parking||Service Vehicle Parking,39.19062312,-86.522872,116
Lot 117,Permits:||Accessible Parking,39.18405698,-86.52172706,117
Lot 117,Permits:||Athletic Parking,39.18480254,-86.52345069,117
Lot 117,Permits:||Athletic Parking,39.18541716,-86.52021566,117
Lot 117,Permits:||Athletic Parking,39.18433022,-86.51977642,117
Lot 120,Permits:||Athletics Parking,39.18155316,-86.51668531,120
Lot 121,Permits:||Athletic Parking,39.18633226,-86.51333709,121
Lot 122,Permits:||IU Foundation Parking,39.18445655,-86.51167684,122
Lot 122,Permits:||IU Foundation Parking,39.18411104,-86.5124486,122
Lot 123,Permits:||EMS Parking (24 Hr)||Accessible Parking||Reserved Parking,39.179551,-86.513989,123
Lot 125,This is all of David Baker Ave Street Parking||Permits:||Student Parking,39.18281264,-86.51314328,125
Lot 126,Permits:||EMS Parking||Service Vehicle Parking,39.17770727,-86.50998314,126
Lot 127,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.17726915,-86.51265233,127
Lot 127,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.1751783,-86.5142733,127
Lot 127,Permits:||EMP Parking||EMS Parking||Student Parking||Accessible Parking||Accessible Metered Parking,39.17397338,-86.51524884,127
Lot 128,Permits:||Student Parking||Accessible Parking||Motorcycle Parking||Metered Parking,39.17796305,-86.50780363,128
Lot 130,Permits:||Student Parking Section||Athletics Parking,39.1791,-86.5048,130
Lot 132,Permits:||Student Parking||Accessible Parking||Motorcycle Parking,39.17656241,-86.50823344,132
Lot 133,Permits:||Student Parking,39.17698739,-86.51117842,133
Lot 133,Permits:||Student Parking,39.17671824,-86.51050761,133
Lot 133,Permits:||Student Parking,39.17705744,-86.51203248,133
Lot 134,Permits:||Student Parking,39.17614982,-86.50980086,134
Lot 134,Permits:||Student Parking,39.17577203,-86.51015747,134
Lot 136,Permits:||Student Parking||Accessible Parking||Metered Parking,39.17550085,-86.50914726,136
Lot 136,Permits:||Student Parking||Accessible Parking||Metered Parking,39.17525816,-86.50907961,136
Lot 138,Permits:||Student Parking||Accessible Metered Parking||Motorcycle Parking,39.17522138,-86.51039077,138
Lot 140,Permits:||Accessible Parking||Visitor Pay Lot,39.17384091,-86.51056657,140
Lot 142,Permits:||Accessible Parking||Motorcycle Parking||Service Vehicle Parking,39.17298115,-86.51177038,142
Lot 144,Permits:||EMS Parking,39.17334082,-86.51481171,144
Lot 146,Permits:||EMP Parking||Service Vehicle Parking||Patient Parking,39.17250911,-86.51494331,146
Lot 148,Permits:||EMS Parking||Campus Housing Parking - Zone 5||Accessible Parking||Motorcycle Parking,39.17208318,-86.51291399,148
Lot 150,Permits:||Campus Housing Parking - Zone 3||Accessible Parking||Accessible Metered Parking,39.17335891,-86.50936124,150
Lot 150,Permits:||Campus Housing Parking - Zone 3||Accessible Parking||Accessible Metered Parking,39.17381547,-86.50978219,150
